stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000250018	9606.ENSP00000378492	TPH1	GRM2	9606	0.411	0	0	0	0.063	0	0	0.398
9606.ENSP00000250018	9606.ENSP00000378492	TPH1	GRM2	9606	0.411	0	0	0	0.063	0	0	0.398
9606.ENSP00000250018	9606.ENSP00000384092	TPH1	POMC	9606	0.439	0	0	0	0.062	0	0	0.427
9606.ENSP00000250018	9606.ENSP00000384092	TPH1	POMC	9606	0.439	0	0	0	0.062	0	0	0.427
9606.ENSP00000250018	9606.ENSP00000384364	TPH1	NPY	9606	0.458	0	0	0	0	0	0	0.458
9606.ENSP00000250018	9606.ENSP00000384364	TPH1	NPY	9606	0.458	0	0	0	0	0	0	0.458
9606.ENSP00000250018	9606.ENSP00000354511	TPH1	COMT	9606	0.684	0	0	0	0.052	0	0	0.681
9606.ENSP00000250018	9606.ENSP00000354511	TPH1	COMT	9606	0.684	0	0	0	0.052	0	0	0.681
9606.ENSP00000250018	9606.ENSP00000358963	TPH1	HTR1B	9606	0.716	0	0	0	0	0	0	0.716
9606.ENSP00000250018	9606.ENSP00000358963	TPH1	HTR1B	9606	0.716	0	0	0	0	0	0	0.716
9606.ENSP00000250018	9606.ENSP00000298472	TPH1	SLC18A2	9606	0.742	0	0	0	0.066	0.131	0	0.707
9606.ENSP00000250018	9606.ENSP00000298472	TPH1	SLC18A2	9606	0.742	0	0	0	0.066	0.131	0	0.707
9606.ENSP00000250018	9606.ENSP00000337949	TPH1	HTR7	9606	0.756	0	0	0	0.059	0	0	0.751
9606.ENSP00000250018	9606.ENSP00000337949	TPH1	HTR7	9606	0.756	0	0	0	0.059	0	0	0.751
9606.ENSP00000250018	9606.ENSP00000276198	TPH1	HTR2C	9606	0.774	0	0	0	0.062	0	0	0.769
9606.ENSP00000250018	9606.ENSP00000276198	TPH1	HTR2C	9606	0.774	0	0	0	0.062	0	0	0.769
9606.ENSP00000250018	9606.ENSP00000437737	TPH1	HTR2A	9606	0.806	0	0	0	0	0	0	0.806
9606.ENSP00000250018	9606.ENSP00000437737	TPH1	HTR2A	9606	0.806	0	0	0	0	0	0	0.806
9606.ENSP00000250018	9606.ENSP00000329093	TPH1	TPH2	9606	0.814	0	0	0.448	0.084	0	0.8	0.853
9606.ENSP00000250018	9606.ENSP00000329093	TPH1	TPH2	9606	0.814	0	0	0.448	0.084	0	0.8	0.853
9606.ENSP00000250018	9606.ENSP00000340684	TPH1	MAOA	9606	0.838	0	0	0	0.062	0	0	0.833
9606.ENSP00000250018	9606.ENSP00000340684	TPH1	MAOA	9606	0.838	0	0	0	0.062	0	0	0.833
9606.ENSP00000250018	9606.ENSP00000316244	TPH1	HTR1A	9606	0.859	0	0	0	0.062	0	0	0.856
9606.ENSP00000250018	9606.ENSP00000316244	TPH1	HTR1A	9606	0.859	0	0	0	0.062	0	0	0.856
9606.ENSP00000250018	9606.ENSP00000261707	TPH1	SLC6A4	9606	0.922	0	0	0	0.062	0	0	0.92
9606.ENSP00000250018	9606.ENSP00000261707	TPH1	SLC6A4	9606	0.922	0	0	0	0.062	0	0	0.92
9606.ENSP00000259455	9606.ENSP00000316244	GABBR2	HTR1A	9606	0.583	0	0	0	0.171	0.213	0	0.411
9606.ENSP00000259455	9606.ENSP00000316244	GABBR2	HTR1A	9606	0.583	0	0	0	0.171	0.213	0	0.411
